Index,Chunk
2620,"】
六乙鼠贵诗诀 
六乙鼠贵在其时，官杀冲破不相宜，月宫通得真三日，方定当生禄马奇。乙日生人得子时，名之聚贵最为奇，切嫌午字来冲破，辛酉庚申总不宜。乙日须逢丙子时，如无午破贵尤奇，四柱忌逢申酉丑，若无官杀拜丹墀。阴木逢阳亥子多，子为鼠贵贵嵯峨，柱中只怕南离位，困若伤残怎奈何。六乙生人时遇鼠，官星又带复如此，庚辛申酉马牛欺，一位逢之为丐子。【眉批：此单言六乙日生得子时，为鼠贵，用子字多官高名显，四柱无官星者方入此格。用此格者忌冲子，不宜见午字去冲，多为聚贵。见庚申辛酉四字则减分数，岁运亦忌，凡遇见官只作别格断之。此言犯官星，遇此格当为贫穷不富之人。"
2621,"见庚申辛酉四字则减分数，岁运亦忌，凡遇见官只作别格断之。此言犯官星，遇此格当为贫穷不富之人。】 
合禄诗诀 
戊日庚申时上逢，如无官印贵秋冬，甲丙卯寅兼巳字，四营岁运怕同宫。日子癸水时庚申，生在秋冬富贵人，大忌寅来伤秀气，若逢春夏惹灾连。时遇庚申癸日生，此为官印合官星，不逢官杀兼阳火，名誉昭彰拜紫宸。申时戊日食神奇，惟喜秋冬福禄宜，甲丙卯寅来克破，遇而不遇主孤离。食神生旺无刑克，命中值此胜财官，官印更来相协助，少年登第拜金銮。【眉批：六戊日为主，以庚申时合卯中乙木为戊官。四柱有甲乙字或丙字、巳字，刑坏了申字及伤庚字，则减分数，岁君大运亦然。秋冬生者为妙。"
2622,"四柱有甲乙字或丙字、巳字，刑坏了申字及伤庚字，则减分数，岁君大运亦然。秋冬生者为妙。如甲辰 丙寅 戊戌 庚申中庚合卯宫乙木为官，以杀化之行南方运所以贵显。】 
子遥巳诗决 
甲子重逢甲子时，休言官旺不相宜，月生日主根元壮，运到金乡反得奇。甲临子字日时全，拟作蟾宫折桂仙，丑绊午冲官杀显，反为淹滞祸绵绵。甲子重逢甲子时，名为遥巳最相宜，才临丑午家须破，岁运官逢亦不奇。甲子日逢甲子时，子来遥合巳中支，戊能动丙丙合酉，甲得辛官贵可知。不喜庚辛申酉出，丑来相绊亦非宜，更嫌午字相冲害，运入官乡旺处奇。【眉批：以甲子为主，只以子遥巳中戊土，动丙，丙合辛官，辛金为甲之官是也。"
2623,"不喜庚辛申酉出，丑来相绊亦非宜，更嫌午字相冲害，运入官乡旺处奇。【眉批：以甲子为主，只以子遥巳中戊土，动丙，丙合辛官，辛金为甲之官是也。如宋钱丞相命，己巳、乙亥、甲子、甲子，即合此格。如赵太守，丙子、壬辰、甲子、甲子， 亦合此格，所以为贵。或有丑字合子字则遥不成反成下格。】 
丑遥巳格诗诀 
辛日癸日多逢丑，名为遥巳合官星，莫言不喜官星旺，谁信官来反有成。辛丑癸丑二日子，丑能合巳巳藏官，丑日多见方为妙，不宜子字柱中间。若逢申酉更为美，辛嫌巳午丙丁干，癸嫌戊己及巳午，此命必须仔细看。辛癸二日逢遇丑，便是官星暗入宫，申酉喜来临一字，忌逢巳午子垣凶。【眉批：只用辛丑、癸丑二日是也。"
2624,"辛癸二日逢遇丑，便是官星暗入宫，申酉喜来临一字，忌逢巳午子垣凶。【眉批：只用辛丑、癸丑二日是也。辛用丑遥巳中丙为官，癸用丑遥巳中戊土为官，忌子字合住丑字相绊则不能遥也。如癸丑、乙丑、辛丑、戊子。辛丑、辛丑、辛丑、庚寅，主大贵之命也。】 
壬骑龙背诗诀 
壬骑龙背喜非常，寅字辰多转发扬，大忌官星来破格，刑冲须见寿元伤。壬骑龙背怕官居，重叠逢辰贵有余，设若寅多辰字少，须应豪富比陶朱。壬辰日又见辰时，年月辰多最是奇，四柱若逢寅位上，发财发福两相宜。壬寅不及壬辰日，四柱壬辰字要多，辰字多兮官杀重，寅多可比石崇过。日遇壬辰格罕逢，格中曾见号骑龙。若还寅字重重出，富贵仍教比石崇。"
2625,"日遇壬辰格罕逢，格中曾见号骑龙。若还寅字重重出，富贵仍教比石崇。午戌成财寅合局，戌中禄马用辰冲，忽然若是壬寅出，四柱居辰格亦同。【眉批：此以辰冲戌中丁戊为壬之财官，如壬辰、甲辰、壬辰、壬寅，为贵命。如壬寅、壬寅、壬辰、壬寅，为富命。正谓辰多则贵，寅多则富。若见戌则冲坏不为福也，却要年日时聚贵。若见官星，不为此格。】 
井栏叉格诗诀 
庚日全逢申子辰，井栏叉格制官星，局中无火方成贵，破动提纲祸亦刑。庚日喜逢全润下，贵神名曰井栏叉，丙丁巳午休相遇，申子辰宫全乃佳。若是申时归禄格，时逢丙子杀神加，水局要冲寅午戌，若还填实禄难赊。井栏运喜东方地，得到财乡真富贵，丙丁巳午岁运逢，失禄破财须且畏。"
2626,"若是申时归禄格，时逢丙子杀神加，水局要冲寅午戌，若还填实禄难赊。井栏运喜东方地，得到财乡真富贵，丙丁巳午岁运逢，失禄破财须且畏。庚日全逢润下方，癸壬巳午怕刑伤，时逢子申福减半，功名成败不能长。【眉批：此庚日申子辰三合水局为井栏叉，一般井中有水，乃用庚字，庚又生水，浑是水取贵，以申冲寅午戌火局为庚之官星，只是暗冲寅午戌，若柱中有一寅一午一戌，亦非此格，则无贵矣。】 
归禄格诗诀 
归禄逢财名利全，干头不忌透财源，身强无破平生好，大怕行运遇比肩。日禄归时要旺宫，食神喜遇怕刑冲，伤官嫌入伤财运，官不高兮财不丰。日禄归时格最良，怕官嫌杀喜身强，若见比肩分劫禄，刑冲破害更难当。"
2627,"日禄归时要旺宫，食神喜遇怕刑冲，伤官嫌入伤财运，官不高兮财不丰。日禄归时格最良，怕官嫌杀喜身强，若见比肩分劫禄，刑冲破害更难当。青云得路禄归时，凡命逢之贵且奇，四柱无冲官不至，少年平步上云梯。【眉批：此格如甲日得寅时合之，甲禄在寅，四柱无一点官星，方是此格。若有官星，则非此格。如丙午、癸巳、甲子、丙寅，此格正合，为富贵。行见官运亦凶。】 
六阴朝阳诗诀 
辛日单单逢戊子，六阴贵格喜朝阳，丙丁巳午休填实，岁运轮逢一例评。南地平平最嫌北，西方第一次东方，若还子字无相遇，贵处朝堂姓字香。戊子时逢日主辛，阴阳朝位贵超群，官星七杀休相见，巳马南离局里镇。"
2628,南地平平最嫌北，西方第一次东方，若还子字无相遇，贵处朝堂姓字香。戊子时逢日主辛，阴阳朝位贵超群，官星七杀休相见，巳马南离局里镇。岁月有财寻别格，辛中丑绊又非真，断然此格当为贵，西运行来作辅臣。辛逢戊子最相宜，名利高迁折桂技，四季秋生无亥字，荣华富贵业尤奇。六阴行运喜西方，临在东方也吉昌，若到北方凶且畏，南离冲破主灾殃。【眉批：此以辛日为主，以戊动丙火为辛之官，暗合取贵，元无官杀方用此例。以辛为阴，以子为阳，忌南方火旺，有火即是官星，不用此格。西方金运大贵，亥乃北方水地，金生水泄其气，秋属金故喜东方属木，财运亦好。
2629,"以辛为阴，以子为阳，忌南方火旺，有火即是官星，不用此格。西方金运大贵，亥乃北方水地，金生水泄其气，秋属金故喜东方属木，财运亦好。】 
拱禄拱贵诗决 
拱禄拱贵格中稀，也须月令看支提，提纲有用提纲重，月令无官用此奇。拱禄拱贵格稀奇，遇者腰是金紫衣，只怕刑冲并克破，应嫌七杀月年随。所拱之位怕填实，又怕伤官在月支，羊刃重重来格破，如无此破贵无疑。癸日癸时逢亥丑，名为拱禄福重重，若无官杀来冲坏，雁塔题名有路通。两绊本身非是我，拱藏一位虚中好，不宜填实见官星，更忌官星当克破。甲寅甲子拱辛官，壬辰壬寅拱贵看，日遇甲申时庚午，戊申戊午桂生香。看来辛丑逢辛卯，乙未乙酉格高强，切忌刑冲填破害，腰金衣紫食皇粮。"
2630,"甲寅甲子拱辛官，壬辰壬寅拱贵看，日遇甲申时庚午，戊申戊午桂生香。看来辛丑逢辛卯，乙未乙酉格高强，切忌刑冲填破害，腰金衣紫食皇粮。【眉批：此格只有五日，丁巳日见丁未时，己未日见己巳时，戊辰日见戊午时，癸丑日见癸亥时，癸亥日见癸丑时。如癸卯、癸亥、戊辰、戊午，戊禄在巳，辰午拱之，不宜见巳，填实则凶。拱贵之格，乃甲戊庚丑未例，宜虚拱一位，不要填实，相绊刑冲破害皆拱不成矣，犯者非此格。】 
六甲趋乾诗诀 
甲日生人遇亥时，甲趋乾格最相宜，岁运逢官财旺处，官灾祸患共来齐。【眉批：亥为乾乃天门，北极之垣，甲木赖之为长生之地，故曰趋乾。"
2631,"】 
六甲趋乾诗诀 
甲日生人遇亥时，甲趋乾格最相宜，岁运逢官财旺处，官灾祸患共来齐。【眉批：亥为乾乃天门，北极之垣，甲木赖之为长生之地，故曰趋乾。】 
六壬趋艮诗诀 
壬日寅时为贵格，此名趋艮福非常，大伯刑冲并克破，相逢岁运祸非常。壬喜逢寅庚喜辰，云龙凤虎越精神，支头重见无冲战，定是清朝食禄人。【眉批：此格以壬禄在亥，亥与寅合，又谓之合禄，不宜刑冲。壬以寅中甲木暗邀己土为壬日之官星，己乃甲之妻也。】 
勾陈得位诗诀戊己土 
日干戊己坐财官，号曰勾陈得位看，若有大财分归气，命中值此列朝班。勾陈得位会财官，无破无冲命必安，申子北方东卯木，管教环佩带金銮。"
2632,"】 
勾陈得位诗诀戊己土 
日干戊己坐财官，号曰勾陈得位看，若有大财分归气，命中值此列朝班。勾陈得位会财官，无破无冲命必安，申子北方东卯木，管教环佩带金銮。戊己勾陈得局清，财官相遇两分明，假令岁运无冲破，富贵双全享太平。【眉批：此以戊寅、戊子、戊申；己未、己亥、己卯日是也。戊日以申子辰水局为财星，己日以亥卯未木局为官星是也。忌刑冲杀旺。】 
玄武当权诗诀壬癸水 
玄武当权妙人神，日干壬癸坐财星，官星若也居门户，无破当为大用人。壬癸名为玄武神，财官两见始成真，局无冲破当清贵，辅佐皇家一老臣。【眉批：以壬癸为主，值寅午戌火局为财，辰戌丑未为官是也。壬寅、壬午、壬戌、癸巳、癸未、癸丑六日。"
2633,"【眉批：以壬癸为主，值寅午戌火局为财，辰戌丑未为官是也。壬寅、壬午、壬戌、癸巳、癸未、癸丑六日。】 
润下诗诀 
天干壬癸喜冬生，更值申辰会局成，或是全归亥子丑，等闲平步上青云。壬癸生临水局中，汪洋一会向流东，若然不遇堤防土，金紫荣身位至公。【眉批：如万宗人，庚子、庚辰、壬申、辛亥，得申子辰合亥子水局，合此格，只忌官运。】 
从革诗诀 
秋月金局一类看，名为从革使相欢，如无炎帝来临害，定作当朝宰相官。金居从格贵人钦，造化清高福禄真。四柱火来相混杂，空门艺术谩经纶。【眉批：天干地支纯金方用此格。如辛酉、戊戌、庚申、辛巳，乃杨太尉命，忌火喜土，岁运亦然。"
2634,"【眉批：天干地支纯金方用此格。如辛酉、戊戌、庚申、辛巳，乃杨太尉命，忌火喜土，岁运亦然。】 
稼穑诗诀 
戊己生居四季中，辰戌丑未要全逢，喜逢财地嫌官杀，运到东方定有凶。戊己重逢杂气天，土多只论土居全，财星待遇堪为福，官杀如临有祸缠。【眉批：稼穑，禾稻之神，假土气栽培，故土与稼穑连成一家，人命逢此反为贵。如戊戌、己未、戊辰、癸丑，乃张真人之命。】 
曲直格诗诀 
甲乙生人寅卯辰，又名仁寿两堪许，亥卯未全嫌白帝，若逢坎地必荣身。木从木类正为奇，秋令逢之事不宜，得此清高仁且寿，水源相会福元齐。【眉批：此命是木类旺之说，只从木论，忌金喜木。李总兵，甲寅、丁卯、乙未、丙子，无官杀，是以为贵。"
2635,"【眉批：此命是木类旺之说，只从木论，忌金喜木。李总兵，甲寅、丁卯、乙未、丙子，无官杀，是以为贵。】 
炎上格诗诀 
夏火炎天焰焰高，局中无水是英豪，运行本地方成器，一举峥嵘夺锦饱。火多炎上去冲天，玄武无侵富贵全，一路东方行好运，簪缨头顶带腰悬。【眉批：丙丁火全巳午未一方类象，如张太保，乙未、辛巳、丙午、甲午，极贵之命，忌金水，喜东南要身旺怕冲。】 
福德格诗诀 
阴土逢蛇金与牛，名为福德号貔貅，火来侵克非为美，名利空空一旦休。阴火相临巳酉丑，生居丑月寿难长，更兼名利多成败，破耗荒淫禄不昌。癸巳癸酉月临风，名利迟延作事空，富贵生成难有望，始知成败苦匆匆。"
2636,阴火相临巳酉丑，生居丑月寿难长，更兼名利多成败，破耗荒淫禄不昌。癸巳癸酉月临风，名利迟延作事空，富贵生成难有望，始知成败苦匆匆。阴金合局有前程，造化清奇发利名，四柱火来侵克破，须知名利两无成。西方金气坐阴柔，不怕休时不怕囚，鬼杀生时方发福，功名随步上瀛州。阴木加临丑酉蛇，生居六月暗咨嗟，为官得禄难成久，纵有文章不足夸。福德春丁壬所喜，夏逢甲己又逢癸，乙庚秋令辛冬妙，遇此吉祥真可美。
2637,"阴木加临丑酉蛇，生居六月暗咨嗟，为官得禄难成久，纵有文章不足夸。福德春丁壬所喜，夏逢甲己又逢癸，乙庚秋令辛冬妙，遇此吉祥真可美。【眉批：阴土止有三日，己巳、己丑、己酉，忌见丙丁寅戌午；阴火三日，丁巳、丁酉、丁丑，喜财官旺位，不爱见合；阴水三日，癸巳、癸丑、癸酉，与飞天禄马同；辛巳、辛丑、辛酉三日是金福德，若得巳酉丑金者为妙，丙火旺为官，主大贵；阴木三日，乙巳、乙丑、乙酉是也，不宜六月生，若在其余之月皆以六格断，阴木生于未土带金旺克木也。】 
弃命从财诗诀 
日主无根财犯重，全凭时印旺身宫，逢生必主兴家业，破印纷纷总是空。日干无气满盘财，弃命相从是福胎，运旺财官皆福贵，如芬相助反为灾。"
2638,"】 
弃命从财诗诀 
日主无根财犯重，全凭时印旺身宫，逢生必主兴家业，破印纷纷总是空。日干无气满盘财，弃命相从是福胎，运旺财官皆福贵，如芬相助反为灾。【眉批：如庚申、乙酉、丙申、己丑，以金为财，弃命从之，主富，其它以凶断之。】 
弃命从杀诗诀 
土临卯位三合全，木见当生金水缠，水木旺乡名利显，再逢坤坎祸连绵。五阳在日全逢杀，弃命相逢命不坚，如见五阴来此地，杀生根败吉难言。阳水重逢阳土戈，无根何处被刑磨，格中有贵须还显，切忌官星破局多。庚日全逢寅午戌，天干透出始为神，重重火旺声名显，命里休囚忌水乡。六乙生人巳酉丑，局中切忌财星守，若还行运到南方，管取其人寿不久。"
2639,"庚日全逢寅午戌，天干透出始为神，重重火旺声名显，命里休囚忌水乡。六乙生人巳酉丑，局中切忌财星守，若还行运到南方，管取其人寿不久。阳火喜居身弱地，勾陈朱雀作凶媒，一片江湖太白象，不为将相作高魁。【眉批：弃命从杀格者只用丙丁己三日火命，复要行运北方，又忌见根运，行南方见根者必凶。丙日生申子丑月不弃。丁丑月不弃，此中有暗官。己卯日生亥月不弃，六己日身弱皆然，卯月亦不为弃命就杀之格。丁日生酉丑月，六戊生亥月，壬日生戌月，戊日生未月，乙日生酉俱不弃。】
杀重有救诗诀 
丙临申位逢阳水，月逢成土反长年，若有吉神来救助，方知安乐寿绵绵。巳到双鱼夭可知，重逢乙木死无移，干头若有庚金助，恰似春花放旧枝。"
2640,"】
杀重有救诗诀 
丙临申位逢阳水，月逢成土反长年，若有吉神来救助，方知安乐寿绵绵。巳到双鱼夭可知，重逢乙木死无移，干头若有庚金助，恰似春花放旧枝。丙临申位火无焰，阳水逢之命不坚，若得土来相救助，管教福寿得长年。【眉批：甲申日月有丙火，杀重靠丙制之，忌行壬运，行壬运必死。若以戊土克壬水，水不能克火，以土救之。】 
天元一气诗诀 
四重阳水四重寅，离坎交争旺气赢，运至火乡成富贵，往来须忌对提刑。人命如逢四卯全，干头辛字又相连，身轻福浅犹闹事，诚恐将来寿不坚。金龙变化春三月，四柱全逢掌大权，不入朝中为宰相，也须名利震边疆。己巳重逢命里排，一身天禄暗催来，人中必显名尊贵，秀夺江山出类才。"
2641,金龙变化春三月，四柱全逢掌大权，不入朝中为宰相，也须名利震边疆。己巳重逢命里排，一身天禄暗催来，人中必显名尊贵，秀夺江山出类才。戊土重逢午字多，天元一字得中和，英豪特达功名好，见子冲来没奈何。四重丁未命安排，暗合阴生禄位胎，有分东西成富贵，无情行到水中来。丙申四柱命中全，身杀相逢显福元，不是寻常名利客，管教势力夺魁权。乙酉生居八月天，重重乙酉喜相连，不居左右皆荣显，更有收成在晚年。天干甲戌重逢戌，分夺财官无所益，若还行运到南方，合出伤官名利赫。天干四癸在乾宫，水木相逢作倒冲，名利盈盈须有望，南方行运寿还终。【眉批：此谓天元一气，四阳相向，人命逢此，位至三公。如辛卯、辛卯、辛卯、辛卯。财多身弱。
2642,"如辛卯、辛卯、辛卯、辛卯。财多身弱。四庚辰大贵。己巳、己巳、己巳、己巳。如戊午、戊午、戊午、戊午，关公八字。丁未、丁未、丁未、丁未，忌水运。丙申、丙申、丙申、丙申，行北方南方运好，谓之左右皆荣显。甲戌、甲戌、甲戌、甲戌，癸亥、癸亥、癸亥、癸亥，俱天干地支一气。】 
化气诗诀 
甲己化土乙庚金，局中奇妙最难寻，如何六格分高下，贵贱方知论浅深。六乙坐亥多逢木，庚金相会透时干，干生无火方成化，又恐金多反作难。丁壬化木在寅时，亥卯生提是福基，除此二宫皆别论，金多犹恐反伤之。戊癸南方火焰高，胜光时上显英豪，局中无水伤年月，献赋龙门夺锦袍。丙辛化水生冬月，阴日阳时须见清，有土局中须破用，得金相助发前程。"
2643,戊癸南方火焰高，胜光时上显英豪，局中无水伤年月，献赋龙门夺锦袍。丙辛化水生冬月，阴日阳时须见清，有土局中须破用，得金相助发前程。丁壬化木喜逢寅，盖世文章绝等伦，曲直更归年月地，少年平步上青云。丁壬化木入金乡，苟禄蝇营空自忙，气喘残伤无足取，眼前骨肉亦参商。丙辛四柱月中生，变化艰辛福力增，土数重重贫且贱，飘飘身世若浮萍。丙辛化合喜逢申，翰苑英蜚气象新，润下若居年月上，须知不是等闲人。乙庚金局旺于酉，时遇从魁是格奇，辰戌丑未如相生，此是名门将相儿。乙庚最怕火炎阳，志气消磨主不良，寅午重逢为下格，随缘奔走觅衣粮。天元戊癸支藏水，败坏门庭事绪多，行运更逢生旺水，伤妻克子起风波。
2644,乙庚最怕火炎阳，志气消磨主不良，寅午重逢为下格，随缘奔走觅衣粮。天元戊癸支藏水，败坏门庭事绪多，行运更逢生旺水，伤妻克子起风波。甲己中央化土神，时逢辰日脱埃尘，局中岁月趋火地，方显功名富贵人。甲己干头生遇春，平生作事漫劳神，百般机巧番成拙，孤苦伶仃走不停。【眉批：此言甲己日与乙庚日从土从金之化。乙亥日主，干头有庚金，即乙与庚合而化金。丁与壬合逢壬水而化，有木局则从木论。戊与癸合化火，喜行南方忌北方。水喜北方与西方，忌辰戌丑未。丁壬化木喜行东方运，忌庚辛金。木盛金伤，化之无土，主有气喘之疾，并骨肉伤残。言丙辛化水逢土克之故。乙庚化金喜行四季，主生金吉，南方不利矣。乙庚金遇火克则不吉。
2645,"乙庚化金喜行四季，主生金吉，南方不利矣。乙庚金遇火克则不吉。戊癸化尽又有火在支巳酉火变复行水方则休矣。土喜火生，忌水为害。甲己化土遇春，则木旺矣，受此剥削则主孤寒。】 
天元一字诗诀 
天元一字水为源，生在秋冬贵莫言，大运吉神逢一位，少年仕路必高迁。天元一字土为基，四季生时更是奇，申酉二支为格局，聪明俊秀异常儿。天元一字木为根，传送登明显福元，四柱官星如得地，功名利禄早承恩。天元一字若逢金，日时魁罡福气深，库刃运中并带贵，天生德行贵人钦。天元一字火融融，大吉功曹时日冲，冲起财官为发用，中平富贵福兴隆。【眉批：壬子、壬子、壬子、壬寅，此格生在冬月有贵。庚辰、戊午、戊戌、戊午之例，喜土金。"
2646,"【眉批：壬子、壬子、壬子、壬寅，此格生在冬月有贵。庚辰、戊午、戊戌、戊午之例，喜土金。甲子、甲戌、甲寅、甲子，又乙丑、乙酉、乙亥、乙酉也。庚申、庚辰、庚戌、庚戌也。丙寅、丙申、丙午、丙申之例。】 
刑冲诗诀 
比肩羊刃日时逢，若问年令父道凶，父母干支相会合，财星健旺寿如松。克夫那堪妻又伤，堪居道院共僧房，闲身作保防连累，财破妻灾事几场。【眉批：主克父母后财多健旺可见。年日下伤妻，时下克上，月主克父。】 
克妻诗诀 
天干透露弟兄多，财绝官衰旺太过，月令又逢身旺地，青春年少哭娇娥。当生四柱有财星，羊刃逢时定克刑，岁逢运行妻眷绝，妻宫频见损年龄。【眉批：大抵克妻尽于羊刃、劫财上见之。"
2647,"当生四柱有财星，羊刃逢时定克刑，岁逢运行妻眷绝，妻宫频见损年龄。【眉批：大抵克妻尽于羊刃、劫财上见之。又言财神死绝，财者，妻也，财死则妻死】
克子诗诀 
五行四柱有伤官，子息初年必不安，官鬼运临生旺地，可存一二老来看。嗣中生时见刑冲，月令休囚子息空，官鬼败亡重见克，如无庶出必螟蛉。印绶重叠克子断，子息难养谁为伴，若还留得在身边，带破执拗难使唤。时逢七杀本无儿，此理人当仔细推，干上食神支又合，须知有子贵而奇。女人印绶月时逢，官食遭伤子息空，当主过房兼别立，孤儿重犯两无功。局中官杀两难亲，羊刃重重福助之，八字纯阳偏印重，妨妻叠叠更埋儿。【眉批：五行金木水火土，四柱年月日时。有伤官者必有子。"
2648,"【眉批：五行金木水火土，四柱年月日时。有伤官者必有子。嗣中，时干支也。有官杀又生旺必有子。印绶重则母多，母多则灭子。时带七杀主无子，若有食神制伏，亦有好子。女人以官为夫，以食为子，官既伤失，财又伤，必主害至。官杀重逢大有争，四柱日衰必无子】 
运晦诗诀 
干事难成又费钱，提防凶事近流年。初心欲遂熊罴兆，中却反成饱事眠。比肩岁运必争论，斗讼官司为别人。兄弟阴人财帛事，闭门还有是非临。不作祯祥反作灾，外情牵惹是非来。匣中珠宝牢难取，求谋不成又破财。到此难留隔宿钱，求之劳碌又熬煎。若还财聚主克妻，又是官灾口舌缠。劫财羊刃两头居，外面光华内本虚。官杀两头俱不出，少年夭折漫嗟吁！"
2649,"劫财羊刃两头居，外面光华内本虚。官杀两头俱不出，少年夭折漫嗟吁！【眉批：流年当年，岁主管一年之祸福，吉则吉，凶则凶。此亦言比肩之事。此若论有印遇主十年灾在身，流年又遇之更甚。】
运通诗诀 
三合财官得运时，绮罗香里会佳期。洋洋已达青云志，财禄婚姻喜气宜。运遂时来事事宜，布衣有份上天梯。贵人轻着提携力，指日青云贵可期。自是生来不受贫，官居华屋四时春。夏凉冬暖清高处，馐馔杯盘胜别人。此运祥光事转新，一团和气蔼阳春。青云有信天书近，定是超群拨萃人。甲寅乙卯非为刃，辛酉庚申理一同。合起人元财马旺，中年显达富家翁。"
2650,"甲寅乙卯非为刃，辛酉庚申理一同。合起人元财马旺，中年显达富家翁。【眉批：人生四柱中已有财官印，逢三合又遇吉神，岂不为福喜事并有如锦上添花，常人发福，士人登第。】 
带疾诗诀 
戊己生时气不全，伤官时月见留连，必当头面有亏损，脓血之灾苦少年。日主加临戊己生，支辰火局气熏蒸，冲刑克破当残疾，发秃那堪眼不明。丙丁日主丑行衰，七杀加临三合来，升合日求衣食缺，耳聋残疾面尘埃。壬癸重重叠叠排，时辰若设见天财，纵然头面无斑癫，足见其人眼目灾。丙丁火旺疾难防，四柱休囚辰巳方，水火相生来此地，哑中风疾喑中亡。【眉批：无己以丙丁为福，又以日干为头面也。火气炎上若盛，则伤其目。水属肾，肾水衰则伤眼。"
2651,"火气炎上若盛，则伤其目。水属肾，肾水衰则伤眼。】 
寿元诗诀 
寿算幽玄识者稀，识时须是泄天机，六亲内有憎嫌者，岁运逢之总不宜。寿星明朗寿元长，偏印逢之不可当，妻妾不来相救助，命如衰草值秋霜。丙临申位逢阳水，定见天年未可知，透出干头壬癸水，其人必定死无疑。【眉批：寿元，五行纳音所取为，甲子生人乃取甲子乙丑海中金，金为寿元也。余皆同此。丙申临巳酉水行运，又逢壬水者，无土相救必死。】 
飘荡诗决 
偏财偏位发他乡，慷慨风流性要强，别立家园三两处，因名因利自家亡。偏财别立在他乡，宠妾妨妻更克伤，爱欲有情妻妾众，更宜春酒野花香。"
2652,"】 
飘荡诗决 
偏财偏位发他乡，慷慨风流性要强，别立家园三两处，因名因利自家亡。偏财别立在他乡，宠妾妨妻更克伤，爱欲有情妻妾众，更宜春酒野花香。【眉批：偏财天干透出者，主招他方之财，支中若无藏者虽招求而无财，不必以他乡有断之。】 
女命诗诀 
财官印绶三般物，女命逢之必旺夫，不犯杀多无混杂，身强制伏有称呼。女命伤官福不真，无财无印守孤贫，局中若见伤官透，必作堂前使唤人。有夫带合须还正，有合无夫定是偏，官杀重来成下格，伤官重合不须言。官带桃花福寿长，桃花带杀少祯祥，合多切忌桃花犯，劫比桃花大不良。女命伤官格内嫌，带财带印福方坚，伤官旺处伤夫主，破了伤官损寿元。"
2653,"官带桃花福寿长，桃花带杀少祯祥，合多切忌桃花犯，劫比桃花大不良。女命伤官格内嫌，带财带印福方坚，伤官旺处伤夫主，破了伤官损寿元。飞天禄马井栏叉，女命逢之福不佳，只好为偏并作妓，有财方可享荣华。【眉批：财官印绶纯善之物，主得女人利之。女命以官为夫，有伤官则伤其夫，夫既受伤其妻必无生矣。无夫有合者，多作偏妾断之。桃花主淫，有官星犯之得其正，无官星犯之主偏僻之流，要于官上见之为佳。井栏叉格用日中干辰合者乃金水食为女人，见之多水性，故曰偏僻之流。】
长生诗诀 
长生管取命长荣，时日重临主性灵，更得吉神相会遇，少年及第入王庭。长生若也得相逢，生下须招祖业隆，父母妻儿无克陷，安然享福保初终。"
2654,"】
长生诗诀 
长生管取命长荣，时日重临主性灵，更得吉神相会遇，少年及第入王庭。长生若也得相逢，生下须招祖业隆，父母妻儿无克陷，安然享福保初终。此诀虽五星中有定决生死，子平四柱亦要定生旺死绝之由。【眉批：五行长生之地，木生于亥，火生于寅，金生于巳，水生于申，如能遇之，则福。】 
沐浴诗诀 
沐浴凶神切忌之，多成多败少人知，男人值此应孤独，女命逢之定别离。沐浴那堪吉位逢，更兼引从在其中，读书必定登科甲，莫比诸神例作凶。桃花沐浴不堪闻，叔伯姑姨合共婚，日月时胎如犯此，定知无义乱人伦。咸池无禄号桃花，酒色多因败坏家，更被凶神来克破，疾赢病死莫咨嗟。"
2655,"桃花沐浴不堪闻，叔伯姑姨合共婚，日月时胎如犯此，定知无义乱人伦。咸池无禄号桃花，酒色多因败坏家，更被凶神来克破，疾赢病死莫咨嗟。女命若还逢沐浴，破败两三家不足，父母离乡寿不长，头男长女须防哭。【眉批：沐浴，五行裸以见溺之地，如人初生浴于水中，无力掌持，其险也。在命前为引，在命后为行。沐浴又为桃花杀同看，子午卯酉全之局也主淫乱。咸池星，即桃花杀，主酒色亡家，女人更忌见此。】
冠带诗诀 
命逢冠带少人知，初主贫寒中主宜，更得贵人加本位，功成名遂又何疑。人命若还逢冠带，兄弟妻孥无陷害，因何接祖绍箕裘，只为胎中有冠盖。【眉批：冠带如人年长至十五，可以冠带。"
2656,"人命若还逢冠带，兄弟妻孥无陷害，因何接祖绍箕裘，只为胎中有冠盖。【眉批：冠带如人年长至十五，可以冠带。五行始生，推之故为吉庆，人命当此，可以兴家立业。】 
临官诗决 
临官帝旺最为奇，禄贵同宫仔细推，若不状元登上第，直须黄甲脱麻衣。帝旺诗诀 
临官帝旺两相逢，业绍箕裘显祖宗，失位纵然居世上，也须各姓达天聪。【眉批：临官帝旺者，如人年至四十五十，居天下之广居，立天下之正位，行天下之大道，得志与民同之，不得志独行其道，当此之际，富贵不离此身也。】
衰病死诗诀 
纳音衰病死重逢，成败之中见吉凶，若得吉神来救助，变灾为福始亨通。衰病两逢兼值死，世人至老无妻子，不惟衣食不丰隆，灾病绵绵终损己。"
